text,relevance,concreteness,constructive
你沒有輸入提示,1,0,0
甚麼都沒打,0,0,0
有，100分,0,0,0
"可以加一點點註解
排版要注意",1,0,1
作業未寫,0,0,0
完成題目要求，且有加上註解,1,0,0
作業正確,0,0,0
沒有完成作業,0,0,0
寫得很好,0,0,0
做得好！,0,0,0
有轉換成功，不過題目要求變數宣告要是 int (整數型態)，且不用再另外開一個 .java 檔，src 內已經有 Temperature.java,1,1,1
卡關了嗎?,0,0,0
寫得真好，變數名稱太帥拉,1,0,0
請不要交白卷,0,0,0
沒有變數哭了,1,0,0
空空如也,0,0,0
沒有完成,0,0,0
未輸出提示輸入字串,1,1,0
作業未完成,0,0,0
可以多注意排版,1,0,1
請寫完整程式碼,1,0,1
我從你空白的程式碼中看到了你的嚴謹、你一絲不苟、你的不屑與狂放不羈的性格，所以我向你獻上我最高的敬意   以及0分,1,0,0
"有料，好猛的攝氏溫度
",0,0,0
"pass
",0,0,0
作業完成,0,0,0
沒東西,0,0,0
可以加一點點註解,1,0,1
在最後增加scanner.close();會更好,1,1,1
scanner沒有close,1,1,0
"good
",0,0,0
BAD,0,0,0
很棒,0,0,0
讚讚,0,0,0
有達到要求,1,0,0
輸出用float之後導致輸出有小數點,1,1,0
在最後加上scanner.close();會更好,1,1,1
讚欸還有打中文,0,0,0
pass,0,0,0
尚未完成,0,0,0
"很棒
",0,0,0
看起來甚麼都沒打?,0,0,0
請繳交完整程式碼,0,0,1
讚,0,0,0
good!,0,0,0
"input.close();
變數名稱建議命名有意義的名字",1,0,1
讚讚連度C度F都有標,1,0,0
Nice!,0,0,0
你裡面是空的，沒有程式,0,0,0
做得好,0,0,0
"完美
",0,0,0
棒,0,0,0
scanner.close();,1,0,0
清楚明瞭,0,0,0
有個小問題，輸出是int型態,1,1,0
輸出文字未達要求，並且輸出型態為Int(應為Float、Double),1,1,1
未繳交,0,0,0
輸出要是整數，因為題目測試結果沒有小數點,1,1,1
沒有看到程式碼,1,0,0
"        
輸出要是整數，因為題目測試結果沒有小數點",1,1,1
符合題目要求,0,0,0
Wrong Answer: City.java第12行有錯誤。Main.java cityPopulation變數有錯誤,1,1,0
cityPopulation值不同有差嗎?,1,0,0
作業沒空寫?,0,0,0
中規中矩,0,0,0
中規中矩，附加了輸入方式,1,0,0
Without any code in.,0,0,0
Good Job!,0,0,0
都有達到老師題目的要求 很棒:D!!,1,0,0
沒有程式碼,1,0,0
Good Job.,0,0,0
程式碼清晰簡潔有力,1,0,0
不同於%.2f 反而用的Math.round 很酷又很棒!!,1,1,0
跟助教講解的不同，用了Math.round很特別,1,1,0
程式碼清晰簡潔有力，還有貼心的註解,1,0,0
寫了很多註解，很容易理解,1,0,0
在轉換人口裡面的變數盡量不要用m 可以換一個更能讓人一眼就明白的變數名稱 雖然題目沒有要求可以自己輸入城市和人口 但是你做出來了 很棒 但其實不用這麼多,1,1,1
跟助教不同，用了Math.round很獨特,1,1,0
"寫法不太一樣,值得學習",1,0,0
可,0,0,0
正確 符合要求,0,0,0
運行了都沒有看到輸出，研究你的程式好久才發現是需要我先輸入，先輸出提示讓執行者知道要輸出比較好歐，或是至少寫上註解讓人知道要輸入比較好，不過運行上是沒有問題的，讚讚,1,1,1
output有誤，數字打錯,1,1,0
符合規格，讚讚,1,0,0
有歸零 讚讚,1,0,0
還可以手動輸入城市和人口 非常棒,1,0,0
right,0,0,0
正確,0,0,0
可以加上註解會更容易理解 code,1,0,1
可以加上註解，這樣可以更清楚每一行 code 在做什麼,1,0,1
可以不用寫輸入，直接帶入資料即可,1,0,1
程式碼寫的很精簡，計算部分直接一行解決，很美觀，讚讚,1,1,0
"數學計算的部分，可以自行簡化，不然這樣寫一行解的意義就不見了
但整體來說還是很精簡，做的很棒",1,1,1
"一樣是一行解決的部分，可以再修改一些，不必要太多的運算出現
但整體寫的還是很棒、很精簡",1,1,1
非常棒,0,0,0
完成 很棒,0,0,0
看起來沒問題,0,0,0
有符合要求,0,0,0
可行 但不能隨意更改輸入資料,1,0,1
空的 但不確定是否為我這邊的問題,1,0,0
空的,0,0,0
無程式碼,0,0,0
程式碼簡潔整齊，讚讚,1,0,0
程式碼編寫整齊，讚,1,0,0
可以手動輸入 很棒 有達到要求,1,0,0
中規中矩，但輸出打錯字(還看得懂)pupulation->population,1,0,0
GOOD.,0,0,0
正確無誤，有註解更易解讀!,1,0,0
正確，可以增加註解能幫助更快速理解程式。,1,0,1
good，不過可以不用輸入,1,0,1
empty,0,0,0
你是不是忘了git push?,1,1,0
未完成,0,0,0
嚴謹 有歸零,1,0,0
There's nothing.,0,0,0
不過keyborad1忘了close喔,1,1,0
scanner忘了close,1,1,0
記得用空建構子(不用宣告任何東西)，其他都沒問題,1,1,1
"沒寫程式碼
",1,0,0
"沒有用random
",1,0,0
"可以，但縮排的部分，盡量同一
",1,0,1
完全正確,0,0,0
正確且當輸入錯誤會有提示,1,0,0
符合題目要求，程式碼可以再優化,1,0,1
符合題目要求，但程式碼有部分冗餘,1,0,0
程式符合題目的需求 讚讚,1,0,0
生成出來的樂透號碼沒有排序  而且下載下來中文會變亂碼,1,1,0
是抽出五個號碼不是六個喔,1,1,0
一片空白,0,0,0
中規中矩，細節拉滿,1,0,0
符合題目要求 但不知道為甚麼下載下來跑不動 我是複製貼上到新的IntelliJ才跑得動的,1,0,0
nice,0,0,0
中規中矩，但程式碼偏凌亂、複雜,1,0,0
interesting,0,0,0
可以統一大括號下放或是不下放，有時下放有時不下放看起來有點亂,1,0,1
有達到題目要求,1,0,0
隨機抽到的號碼沒有由小到大排序再印出,1,1,0
"lotteryNumbers是6，而不是5
當maxnumber==5時，應該要有輸出值",1,1,1
無任何程式碼,1,0,0
"我無法運作此程式，至少在我的電腦上不行。
當我輸入小於5的整數時，他能要我再輸入新的數，而當我輸入大於5他卻沒有印出結果。
我不是很肯定為甚麼無法運行，但在我的電腦上，你可以看到 App 的 else 裡面 ""int num[] = new int[5];""這行的 ""new int[5]"" 是灰色的。如果我沒記錯，這表示這個東西是未被使用的，所以我想，下一行應該未存取到你的隨機數字陣列。

在我觀察你的程式時還有一個小問題，你的輸出之間是沒有空格的，也就是說你的 num 之間會全部黏在一起，影響閱讀。",1,1,1
會出現重複的數字。(可能需要多試幾次才能看出此問題),1,1,1
利用Reduce the random range來抽出隨機數，獨特的寫法! 然而當範圍大時，會需要大量記憶體空間。,1,1,1
LotteryGenerator.java中的第五行: 「int lotteryNumbers = 5;」 應該依題目指示設為靜態常數(int)。,1,1,1
pass 有些空格分行可以稍微整理統一一下會比較整齊,1,1,1
Good!!!,0,0,0
"	
因為 LotteryGenerator中是while(this.maxNumber < this.lotteryNumbers)
因此lotteryNumbers要是5，當maxnumber==5時，才會有輸出值",1,1,1
有達到要求 但可以把樂透號碼輸出的[]用掉會更好 很棒,1,1,1
已修正靜態常數的錯誤!,1,1,0
"已修正出現重複的數字的問題!
然而，印出平均值(avg)時發生錯誤，重複印出了數值。",1,1,0
"中規中矩，但totalNumber使用者不知道這是啥阿~~
",1,1,0
中規中矩，但使用者會不知道為何要重新輸入，以及很多行的用意不明(未使用到),1,1,0
小數點後只會輸出00,1,1,0
符合題目所敘述 讚讚,1,0,0
還是 沒有 由小 排 到 大 !!!!!!!!!!!!!而且 下載下來中文都是亂碼,1,1,0
我是複製程式碼貼到新視窗跑 結果符合題目敘述 但不知道為什麼檔案直接下載下來不能跑,1,0,0
"沒有程式碼，沒寫作業的樣子
",1,0,0
"註解的縮排注意一下
",1,1,0
"不知道是用的版本太新的關係，那個IDEA我沒辦法跑
不過單從程式碼上看沒什麼太大的問題",1,0,0
lotteryNumbers=5不是6,1,1,0
中文提示字可以多一點 例如重新輸入,1,0,1
可以增加提示 例如重新輸入,1,1,1
可以讚,0,0,0
%n好像是多寫的，可以改掉一下,1,1,1
做的很棒,0,0,0
totalNumbers >= lotteryNumbers 應該都要可以生成號碼,1,1,1
平均值應該每一組獨立輸出,1,1,1
平均值計算錯誤,1,1,0
運算上沒有問題，但是輸出需要在最後全部一起輸出 (依照老師作業說明最後的輸出格式,1,1,1
裡面只有老師給的檔案，是沒push 上來嗎?,1,1,0
雖然有多餘的程式碼就是了,1,0,0
經測試只有第一組是正確的第二組後開始出現錯誤,1,1,0
有達到要求 very nice,1,0,0
組別跟平均只有第一組是對的,1,1,0
"平均值應該每一組獨立輸出
",1,1,1
"平均值計算錯誤
",1,1,0
"Good!
",0,0,0
正確無誤!,0,0,0
平均值輸出應為小數點後兩位(包括尾數為0時)，請見作業輸出範例。,1,1,1
平均值輸出應為小數點後兩位(包括小數點後第二位為0時)，請見作業輸出範例。,1,1,1
"空的
",0,0,0
getInfo沒有將此方法定義為 無法覆寫(override) 的方法。其他沒問題,1,1,0
寫得很好!!,0,0,0
沒做功課喔!!,0,0,0
可以加一點註解，注意程式碼要空行,1,0,1
程式碼區塊間可以有空行，這樣看起來會更整齊乾淨,1,1,1
感覺不要偷懶用HSR比較好,1,0,1
good，可以加上註解讓大家更好了解各個小區塊是實現什麼功能,1,1,1
應該只需要宣告 Railway 陣列，不須宣告其他類別的陣列,1,1,1
沒寫，全部空白。,0,0,0
Well!!!,0,0,0
輸出All conductor and passenger時 數字沒有對齊,1,1,0
沒寫作業,0,0,0
HighSpeedRail裡的calcPrice是回傳int不是double喔,1,1,1
符合題意 真的很棒:),0,0,0
請宣告一個railway類別的物件陣列,1,1,1
沒寫,0,0,0
HighSpeedRail 裡面沒有寫到getter&setter,1,1,0
"讚讚
",0,0,0
讚讚 不過子類別的成員變數記得加private,1,1,1
中規中矩，符合要求,0,0,0
HighSpeedRail & Train 的setter &getter沒寫到,1,1,0
沒有寫getter、setter,1,1,0
"對對對
",0,0,0
超強,0,0,0
"Exception in thread ""main"" java.util.InputMismatchException
        at java.base/java.util.Scanner.throwFor(Scanner.java:947)
        at java.base/java.util.Scanner.next(Scanner.java:1602)
        at java.base/java.util.Scanner.nextInt(Scanner.java:2267)
        at java.base/java.util.Scanner.nextInt(Scanner.java:2221)
        at Main.main(Main.java:31)
錯誤，你可能要改next();",1,1,0
Nice~~~,0,0,0
Good，有達成,0,0,0
"這檔案怪怪的?????
為什麼我打不開(IDEA左邊資料夾不會顯示)，而且嘗試很多次，不過單純打開資料夾程式碼我可以看得到
",1,1,0
一樣空的,0,0,0
有補上了GOOD,0,0,0
改的很棒,0,0,0
改得很棒,0,0,0
下次記得Input high speed rail conductorname: 用print就好，不需要println換行喔,1,1,1
有按照要求,0,0,0
中間可以分段一下ㄛ,1,0,0
pass!,0,0,0
paaaaaas~,0,0,0
未達到要求,1,0,0
程式無法執行，少了Transportation.java,1,1,0
我想你應該沒有 push 到檔案喔,1,0,0
完美,0,0,0
??,0,0,0
???,0,0,0
Main.java 中的 double price = scanner.nextInt 應修改為 double price = scanner.nextDouble,1,1,1
少一個Transportation,1,1,0
Way 記得轉成double，才不會出問題,1,1,1
你的Transportation沒有在裡面喔,1,1,0
"way 記得轉成double
",1,1,0
註解可以寫得更詳細一點,1,0,1
小數點輸出未處理完善，特定測資會出錯,1,1,0
(double)/(int)放在input road/way那一行比較好,1,1,1
中規中矩，做得符合作業要求,1,0,0
中規中矩，符合作業要求,1,0,0
"Input taxi driver:5
Input taxi price:5
Input taxi way:200
Input train driver:G
Input train price:3.3
Input train road:6
Input train driver:J
Input train price:5.5
Input train road:3

All driver and price:
5 1000.0
G 19.799999999999997
J 16.5

output 再加油",1,1,0
題目沒有說TAXI TRAIN TRANSPORTATION 要SETTER 請你修正!!!,1,1,1
題目沒有規定TAXI TRAIN TRANSPORTATION 要SETTER 請你好好的修正!!!,1,1,1
"for (int i = 0; i < railwayArray.length; i++) {
            Transportation railway;
            if (random.nextBoolean()) {
                System.out.print(""Input train driver: "");
                String driver = scanner.next();
                System.out.print(""Input train price: "");
                double price = scanner.nextInt();
                System.out.print(""Input train road: "");
                double road = scanner.nextDouble();

                railway = new Train(driver,price,road);
            }
            else {
                System.out.print(""Input taxi driver: "");
                String driver = scanner.next();
                System.out.print(""Input taxi price: "");
                double price = scanner.nextInt();
                System.out.print(""Input taxi way: "");
                int way = scanner.nextInt();

                railway = new Taxi(driver,price,way);

            }
            railwayArray[i] = railway;
        }
你的Train class 的price 的input 需是double型態，nextInt();=>nextDouble();",1,1,1
"Input taxi driver: K
Input taxi price: 5
Input taxi way: 20
Input train driver: L
Input train price: 2.3
Input train road: 6
Input train driver: I
Input train price: 6.6
Input train road: 3
All driver and price
K 100.0
L 13.799999999999999
I 19.799999999999997

output 再進行些微修改會更好",1,1,1
有提示輸入型態 讚,1,0,0
有詳細註解 讚,1,0,0
GOOOOOOOOOOOOD,0,0,0
PAAAAAAAAAAS,0,0,0
git 沒推好，transportation 不見了,1,1,0
"train 的計算怪怪的
Tom 50.7 24
再稍微注意一下",1,1,0
Taxi 跟 Train的Get沒做,1,1,0
沒改,0,0,0
"very good
",0,0,0
題目沒有說要SETTER 沒有更正作業,1,1,0
很棒 作業有更正了 超棒!!!,1,0,0
無Transportation.java,1,1,0
但是可以不用同時加入setter 和 getter喔,1,1,1
"getter 和 setter 可以不同實存在喔
",1,1,1
測試用輸出可以刪除,1,1,1
註解應更詳細，輸出時小數點沒有設定輸出位數,1,1,1
可以加上更詳細的註解,1,1,1
記得寫註解,1,1,1
這就是傳說中的無字天書嗎?,0,0,0
你的程式碼是要我火烤後才顯示嗎?,0,0,0
Great!!!,0,0,0
對,0,0,0
沒有push 到檔案喔,1,0,0
程式碼淺顯易懂,1,0,0
"主要問題: 作業要求是當使用者輸入錯誤時，只需重新入該項，而非三項都重新輸入

可改可不改的問題: 作業說明是在main 中 getSysGesture 來輸出，而不是在play 中直接輸出",1,1,1
空白 未寫,0,0,0
Yes,0,0,0
GOOD!!,0,0,0
寫得真高端,0,0,0
很棒 :D,0,0,0
寫得真完整,0,0,0
寫得很清楚 淺顯易懂 GOOD!,0,0,0
"你有初始化 enum value，所以 play 可以這樣寫：
if(user[i].getValue() != sysGesture[i].getValue()) {
                winCount += (user[i].getValue() > sysGesture[i].getValue() ? 1 : -1);
            }",1,1,1
sysGesture是不用建Setter的喔,1,1,0
"(選擇性修正)遺漏輸出: ---All system gestures---
(選擇性修正)System gestures 輸出不是小寫(提示: .toLowerCase())",1,1,0
可以，多做蠻多功能的,1,0,0
中規中矩有符合題目要求,1,0,0
ok中規中矩的完成了,0,0,0
比賽結果判斷不對。輸出在錯誤的地方。,1,1,0
比賽判斷錯誤，沒有在正確的檔案中輸出。,1,1,0
PAASSSS,0,0,0
超棒!!!!!:)，很認真。,0,0,0
"scissors
scissors
scissors
---ALL system gestures---
STONE
PAPER
PAPER
Game tie
你的win跟lose 沒有+1
你的條件判斷是有問題
public String play(Gesture[] user) {
        int win = 0, lose = 0;
        for (int i = 0; i < 3; i++) {
            sysGesture[i] = generateGestureByRandom();
            if (user[i].equals(""scissors"")) {
                if (sysGesture[i].equals(""PAPER"")) {
                    win += 1;
                }
                if (sysGesture[i].equals(""STONE"")) {
                    lose += 1;
                }
                if (sysGesture[i].equals(""SCISSORS"")) {
                    //win = win;
                    //lose = lose;
                }
            } else if (user[i].equals(""paper"")) {
                if (sysGesture[i].equals(""STONE"")) {
                    win += 1;
                }
                if (sysGesture[i].equals(""SCISSORS"")) {
                    lose += 1;
                }
                if (sysGesture[i].equals(""PAPER"")) {
                    win = win;
                    lose = lose;
                }
            }else if (user[i].equals(""stone"")) {
                if (sysGesture[i].equals(""SCISSORS"")) {
                    win += 1;
                }
                if (sysGesture[i].equals(""PAPER"")) {
                    lose += 1;
                }
                if (sysGesture[i].equals(""STONE"")) {
                    win = win;
                    lose = lose;
                }
            }
        }
你應該是用使用者輸入去判斷win and lose 的條件，加油。",1,1,1
空白,0,0,0
可以可以很棒!,0,0,0
可以超棒的!，輸出符合,1,0,0
可以，NotLucky~,0,0,0
很棒:D,0,0,0
正確 符合題目要求,0,0,0
EXCELLENT !!!,0,0,0
Setter沒刪掉,1,1,0
"讚
",0,0,0
Nice!!!,0,0,0
程式碼應加上註解,1,0,1
全部檔案完全空白，似乎沒有push上來,1,1,0
完全空白,0,0,0
正確無誤,0,0,0
非常棒，符合要求,0,0,0
非常非常棒，符合題目要求,1,0,0
非常非常棒棒棒，有符合題目的要求輸出,1,1,0
"記得加上註
",1,0,1
"記得加上註
輸出文字應更加清楚",1,1,1
符合要求，但懷疑有chat gxx打code行為,1,0,0
Main的instanceof那邊可以打else就好,1,1,1
GOOD!! 註解很詳細 連GETTER都有註解很棒,1,1,0
Nice~,0,0,0
Good~,0,0,0
"CCC[i].getClass().getTypeName() == ""MobilePhone""可以用CCC[i] instanceof MobilePhone代替",1,1,1
很棒 符合題目敘述 但是變數名稱可以取更淺顯易懂一點:D,1,1,1
Great!,0,0,0
可以用print就好不用printf,1,1,1
沒有寫作業,0,0,0
GOOD,0,0,0
主要邏輯都沒問題，但建議修改輸出 phone brand 的部分，使和題目一樣喔,1,1,1
正確 有註解 很詳細 讚,1,0,0
"有小錯誤。
在ThreeCProduct.java中，turnOff()應依題目印出""3C shut down""而非""3C power off""。",1,1,1
作業忘記寫了,0,0,0
符合題目，很棒!,0,0,0
有符合，很棒！！！,0,0,0
很棒有符合條件!!,0,0,0
有達到標準,0,0,0
GOODDDDD!!!,0,0,0
記得加上註解,1,0,1
應加上更詳細註解，且輸出可以更加完整,1,1,1
作業未上傳,1,0,0
比對時請忽略大小寫。,1,1,0
很棒可以用equalIgnore,1,1,0
很棒，完美!,0,0,0
Good Perferct!,0,0,0
寫得真好，有用到ignore,1,1,0
GOOD!!註解寫得非常清楚,1,0,0
寫得真好，註解清晰,1,0,0
符合題目敘述 很棒,1,0,0
雖然符合題目要求 但是你的grades沒有getter 請補上,1,1,1
達成題目所需要的內容了 甚至可以自行輸入名字和學號 讚,1,1,0
題目無要求須輸入學生姓名與ID,1,1,1
Great!!!!!!,0,0,0
很清楚 詳細,1,0,0
尚未繳交檔案,1,0,0
超棒的!!!，然後equal可以用ignore的,1,1,0
超級棒，做到需要的步驟，讚!,1,0,0
很棒，不過//可以刪掉一些，然後沒有輸出錯誤的名字,1,0,1
"Great!
",0,0,0
Perfect!,0,0,0
並未在grade(HashMap)的setter(getGrades)改寫為儲存以及將String轉成大寫的功能。,1,1,0
很棒 中規中矩,0,0,0
很棒 符合題目要求 有改正,1,0,0
"YJK, good!",0,0,0
0,0,0,0
只看到註解，沒有code?,1,0,0
是，很棒,0,0,0
阿你程式碼呢,1,0,0
是，很棒！,0,0,0
你好棒,0,0,0
沒有印出東西,1,0,0
很好,0,0,0
讚,0,0,0
空白喔0w0,0,0,0
是，超棒的~,0,0,0
muy bien,0,0,0
"Hello bro
hola bro muy bien la",0,0,0
nice,0,0,0
"""Hello World!"" not ""hello world"" ",1,1,0
否,0,0,0
沒有hello world,1,1,0
無,0,0,0
是,0,0,0
yes,0,0,0
未完成作業,1,0,0
連印出Hello World! 都沒辦法,1,1,0
Nothing changed,0,0,0
是的,0,0,0
"似乎沒有耶......？我這邊沒看到QAQ
",0,0,0
棒,0,0,0
你寫的超棒~,0,0,0
有完成作業,0,0,0
很棒,0,0,0
是的~~,0,0,0
可,0,0,0
有,0,0,0
你寫的很棒~,0,0,0
good,0,0,0
no,0,0,0
是，做得好,0,0,0
Hello world 沒有打驚嘆號,1,1,0
要print出 Hello World!,1,1,0
有欸你好棒,0,0,0
要記得print出Hello World喔><,1,1,0
是的~,0,0,0
很棒喔,0,0,0
可印出Hello Word!,1,1,0
"有符合題目要求print出""Hello World!""",1,1,0
有符合~,0,0,0
是。做得好java人。,0,0,0
"否，沒有加"" ! ""。",1,1,0
Y,0,0,0
符合題目要求,1,0,0
是，正確的達到了要求。,1,0,0
"是，正確的印出了""Hello World!""。",1,1,0
符合要求,1,0,0
有印出Hello World,1,0,0
有印出來，很好,1,0,0
是 達到標準,1,0,0
是，非常完美,0,0,0
有印出Hello World!，讚。,1,0,0
少一個驚嘆號，下一次注意一點,1,1,0
有印出Hello World! 讚,1,1,0
否，程式碼編譯失敗,1,0,0
有印出Hello World!字樣,1,1,0
"是, what a fucking good code!",0,0,0
很棒。,0,0,0
可以印出Hello World!字樣,1,1,0
輸出小問題，!太多了,1,1,0
沒完成,0,0,0
有，很棒。,0,0,0
輸出符合題目要求,1,0,0
未完成輸出,1,0,0
Pass,0,0,0
"是, what a fucking good code",0,0,0
沒有符合,0,0,0
很讚,0,0,0
很不錯哦,0,0,0
有符合 讚讚,0,0,0
有！簡潔明瞭！,0,0,0
有欸！,0,0,0
印出Hello World!  少印出了!,1,1,0
優秀,0,0,0
"System.out.println(""Hello World"");",1,0,0
無法執行,1,0,0
"沒有印到""!""",1,1,0
有阿,0,0,0
印不出來喔，System.out.println的S要大寫,1,1,1
太神啦,0,0,0
有達成要求,0,0,0
"是,但Hello World加個空格會更好看",1,1,1
"是,完全符合助教要求",1,0,0
"是,但如果加上'!'會更好",1,0,1
沒有打程式,1,0,0
4,0,0,0
有的,0,0,0
印不出來，System 的 S 要大寫,1,1,1
gd,0,0,0
OK,0,0,0
很棒 有印出Hello World!,1,1,0
讚 有印出Hello World!,1,1,0
Good 有印出Hello World!,1,1,0
是。,0,0,0
有達到題目要求,1,0,0
有印出Hello World!,1,1,0
G,0,0,0
有符合題目要求,1,0,0
有符合要求,1,0,0
有印出來，讚!,1,0,0
有印出要求，讚,1,0,0
有印出要求!讚,1,0,0
很棒！,0,0,0
有的，輸出很完美,1,1,0
非常完美，沒有可以挑剔的,0,0,0
完美,0,0,0
是，有完成,0,0,0
有完成,0,0,0
讚喔,0,0,0
是，輸出符合題目要求,1,0,0
"縮進符寫錯了，應該改成tab size:2, indent:2, continuation indent:4
",1,1,1
"縮進符寫錯了，應該改成tab size:2, indent:2, continuation indent:4",1,1,1
你寫得很棒喲!,0,0,0
做得好，不像我忘記訂正的java人,0,0,0
沒有像我忘記訂正，做得好java人,0,0,0
讚讚有符合,0,0,0
GREAT!,0,0,0
是，讚喔,0,0,0
依舊沒寫,0,0,0
Hello World! not hello world,1,1,0
沒有印出HelloWord呢,1,0,0
對的~,0,0,0
符合符合~,0,0,0
沒有寫任何東西,1,0,0
是 達到題目需求,1,0,0
沒有達到題目要求,1,0,0
Good Job!,0,0,0
很整齊,1,0,0
超乾淨,0,0,0
水喔,0,0,0
是 ，整齊，但tab不符合規範,1,0,0
整齊,1,0,0
我覺得可以,0,0,0
是，很整齊,1,0,0
有整齊 方便閱讀,1,0,0
是，乾淨,0,0,0
連寫都沒寫，沒有排版可言,1,0,0
世,0,0,0
是的喔！,0,0,0
整齊但tab沒有照規定,1,1,0
下次跟標準,1,0,0
式,0,0,0
記得要排版,1,0,1
有整齊，方便閱讀,1,0,0
完全沒問題，是好看的！,1,0,0
有排版,1,0,0
否，未按照規則排版,1,0,0
有整齊，好閱讀,1,0,0
要打上註解,1,0,1
記得要先用checkstyle檢查,1,1,1
版面好漂亮><,1,0,0
ㄜ...畢竟你沒變動到原始code(?,1,0,0
沒縮到排喔~,1,0,0
蘇胡,0,0,0
下面TAB的地方要記得改成 2 spaces~,1,1,1
排版整齊,1,0,0
是，排版整齊。,1,0,0
縮排記得符合規範,1,0,1
否，縮排要用兩個空格而非tab。,1,1,1
輸出那邊沒有縮排到喔,1,1,1
是，排版符合規定。,1,0,0
排版整齊，但不符合Google Checks的設定,1,1,0
整齊，但是tab沒設定好,1,1,0
google表示不喜歡你的排版,1,0,0
不錯,0,0,0
乾淨整齊,1,0,0
整齊簡單,1,0,0
整齊，但是縮排空格沒有依照老師的去做,1,0,0
"是，很乾淨
",0,0,0
非常整齊，格式也正確,1,0,0
是，整齊乾淨,1,0,0
是，排版整齊,1,0,0
整齊且乾淨,1,0,0
排版非常整齊,1,0,0
乾淨舒服。,0,0,0
否，排版未依照google規範,1,0,0
ya,0,0,0
是，很好。,0,0,0
排版未符合google規範，用點天賜的智力,1,0,0
排版整齊但不符合google checkstyle規範,1,0,0
非常整齊,1,0,0
縮排是2格Space，不是4格Space,1,1,0
有符合 很棒,1,0,0
要排版哦(用CheckStyle檢查看看),1,1,1
很整齊但不符合規定 我自己也沒有弄...,1,0,0
很整齊 但沒有符合規定,1,0,0
有！你好猛！是我第一個評到有按照規定排版的！,1,0,0
"是
",0,0,0
"排版不太整齊喔
",1,0,0
整齊，但縮排有誤,1,0,0
跟我家一樣整齊,1,0,0
太整齊了吧,1,0,0
大致上沒有問題,1,0,0
外觀看起來滿棒 但checkstyle說縮排不行,1,1,0
"是,簡潔明瞭",1,0,0
"是,且使用google check只有缺少了Java Doc而已",1,1,0
"是,且使用google checks也完全沒有問題 超厲害",1,1,0
整齊，但縮排可以更符合google規範,1,1,1
沒有符合 google style,1,0,0
